NAME OF CHURCH,CITY,COUNTY,STATE,"CITY, COUNTY, STATE",SOURCE,ASSOCIATION,YEAR,PASTOR,CLERK,# OF MEMBERS,POST OFFICE,YEAR ORGANIZED,DELEGATES,DELEGATES,DELEGATES,DELEGATES
Mt. Ellis,,CHARLOTTE,,Charlotte,BCBA Minutes 1885,BCBA,1885,"Jordan, Nelson","Wilson, J.C.",429,Keysville,N/A,,,,
Piney Grove,,CHARLOTTE,,Charlotte,BCBA Minutes 1885,BCBA,1885,"Elam, J. R.","Edmunds, Jas. T.",112,Randolph,N/A,,,,
Salem (Charlotte),,CHARLOTTE,,Charlotte,BCBA Minutes 1885,BCBA,1885,"Moseley, Jordan","Watkins, T. H.",1000,Red Oak Grove,N/A,,,,
Shiloh (Charlotte),,CHARLOTTE,,Charlotte,BCBA Minutes 1885,BCBA,1885,Blank,"Bedford, S. C.",107,Dupee's Store,N/A,,,,
St. Michael,,CHARLOTTE,,Charlotte,BCBA Minutes 1885,BCBA,1885,"Daniel, B. J.","Dupuy, George",212,Drake's Branch,N/A,,,,
Mount Mitchell,,LUNENBURG,,Lunenburg,BCBA Minutes 1885,BCBA,1885,"Craghead, Isaac","Bailey, F. M.",261,Fort Mitchell,N/A,,,,
Tussekiah,,LUNENBURG,,Lunenburg,BCBA Minutes 1885,BCBA,1885,"Craghead, Isaac","Jenkins, H. H.",280,Lunenburg C. H.,N/A,,,,
Amity,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Miller, W. T.","Simmons, Chas.",128,South Hill,N/A,,,,
Beautiful Plains,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Moseley, Jordan","Evans, D.C.",62,Buffalo Springs,N/A,,,,
Bethlehem,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Almond, John","Davis, C. W.",498,Chase City,N/A,,,,
Bloom Hill,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Miller, W. T.","Baskerville, Britton",84,Union Level,N/A,,,,
Bluestone,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Daniel, B. J.","Powell, J. S.",239,Spring Hill,N/A,,,,
Cedar Grove,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Jeffress, J. W.",Read. A.,29,Oakley,N/A,,,,
Cherry Hill,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Moseley, Jordan","Pool, J. L.",330,Buffalo Springs,N/A,,,,
Greenwood,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Ranson, J. M.","Morton, R. A.",75,Boydton,N/A,,,,
Jerusalem,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Wilson, Lewis","Hudson, Moses",68,Lombardy Grove,N/A,,,,
Lombardy Grove,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Brown, J. W.","Smith, Chas.",192,Smith X Roads,N/A,,,,
Lone Oak,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Ranson, J. M.","Prin, I. V.",279,Stony Cross,N/A,,,,
Mt. Ararat,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Pool, J. B.","Dodson, Mary F.",82,Clarksville,N/A,,,,
Mt. Olive,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Jeffress, J. W.","Daniel, Moses",85,Clarksville,N/A,,,,
Mt. Zion,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Pool, J. B.","Puryear, W. H.",198,Clarksville,N/A,,,,
New Liberty,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Ranson, J. M.",Bowers L. C.,238,Clarksville,N/A,,,,
New Light,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Jeffress, J. W.","Green, R.",22,Clarksville,N/A,,,,
North View,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Cheatham, Alex.","Ogburn, Albert",148,North View,N/A,,,,
Rocky Mount,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Jeffress, James","Gregory, Thomas",44,Hanford,N/A,,,,
Sharon,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Miller, W. T.","Forrell, John",207,Boydton,N/A,,,,
Shiloh (Mecklenburg),,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Jones, Isaac","Gales, W. A.",501,Boydton,N/A,,,,
St. John,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Moseley, Jordan","Skipwith, V. L.",167,Clarksville,N/A,,,,
St. Level,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Brown, J. W.","Wilson, L. N.",107,Abbyville,N/A,,,,
St. Mark,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Jeffress, J. W.","Venable, J. H.",27,Buffalo Springs,N/A,,,,
St. Matthew,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Coleman, H. H.","Dedman, G. W.",92,Oakley,N/A,,,,
St. Paul,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1885,BCBA,1885,"Yancy, R. C.","Bowers, J. A.",129,Boydton,N/A,,,,
Forest,,PRINCE EDWARD,,Prince Edward,BCBA Minutes 1885,BCBA,1885,"Johnson, J. A.","Anderson, P. E. ",374,Meherrin,N/A,,,,
New Bethel,,PRINCE EDWARD,,Prince Edward,BCBA Minutes 1885,BCBA,1885,"Almond, John","Anderson, P. E. ",101,Meherrin,N/A,,,,
First Baptist Church,,CHARLOTTE,,Charlotte,BCBA Minutes 1886,BCBA,1886,Blank,"Elam, J. E.",19,Wyliesburg,N/A,,,,
Morrison Grove,,CHARLOTTE,,Charlotte,BCBA Minutes 1886,BCBA,1886,"Matthew, J. B.","Booker, F. C.",625,Smithville,N/A,,,,
Mt. Ellis,,CHARLOTTE,,Charlotte,BCBA Minutes 1886,BCBA,1886,"Jordan, Nelson","Wilson, J. C.",440,Keysville,N/A,,,,
Piney Grove,,CHARLOTTE,,Charlotte,BCBA Minutes 1886,BCBA,1886,"Elam, J. R.","Edmunds, Jas.",120,Randolph,N/A,,,,
Salem (Charlotte),,CHARLOTTE,,Charlotte,BCBA Minutes 1886,BCBA,1886,"Moseley, Jordan","Haskins, J. R.",1000,Red Oak Grove,N/A,,,,
Shiloh (Charlotte),,CHARLOTTE,,Charlotte,BCBA Minutes 1886,BCBA,1886,"Hall, F. L.","Bedford, S. C.",116,Dupree's Store,N/A,,,,
St. Michael,,CHARLOTTE,,Charlotte,BCBA Minutes 1886,BCBA,1886,Blank,"Dupuy, George",205,Drake's Branch,N/A,,,,
Mount Mitchell,,LUNENBURG,,Lunenburg,BCBA Minutes 1886,BCBA,1886,"Craighead, Isaac","Hankins, L. T.",269,Ft. Mitchell,N/A,,,,
Tussekiah,,LUNENBURG,,Lunenburg,BCBA Minutes 1886,BCBA,1886,"Craighead, Isaac","Jenkins, H. H.",280,Lunenburg C. H.,N/A,,,,
Amity,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,Blank,"Simons, Charles",165,South Hill,N/A,,,,
Beautiful Plains,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Moseley, Jordan","Yancy, N. C.",49,Buffalo Springs,N/A,,,,
Bethelehem,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Almond, John","Davis, C. W.",469,Chase City,N/A,,,,
Bloom Hill,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Yancy, R. C.","Baskerville, Britton",98,Union Level,N/A,,,,
Bluestone,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,Blank,"Powell, J. L.",222,Spring Hill,N/A,,,,
Cedar Grove,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,Blank,"Boswell, Bettie",43,Oakley,N/A,,,,
Cherry Hill,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Moseley, Jordan","Pool, J. L.",325,Buffalo Springs,N/A,,,,
Greenwood,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Yancy, R. C.","Hayes, Wm. H.",63,Boydton,N/A,,,,
Jerusalem,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,Blank,"Hudson, Moses",62,South Hill,N/A,,,,
Lombardy Grove,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,Blank,"Smith, Charles",292,Smith X Roads,N/A,,,,
Lone Oak,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Ranson, J. M.","Winn, J. W.",323,Stony Cross,N/A,,,,
Mount Ararat,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Pool, J. B.","Dodson, Mary F.",85,Clarksville,N/A,,,,
Mt. Olive,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Jeffress, J. W.","Carrington, Robt.",84,Clarksville,N/A,,,,
Mt. Zion,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Pool, J. B.","Williams, P. K.",276,Clarksville,N/A,,,,
New Liberty,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Ranson, J. M.",Bowers L. C.,241,Clarksville,N/A,,,,
New Light,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,Blank,"Carrington, Robt.",23,Clarksville,N/A,,,,
North View,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Ranson, J. M.","Ogburn, A.",151,North View,N/A,,,,
Rocky Mount,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,Blank,"Goode, L. W.",59,Skipwith,N/A,,,,
Sharon,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Jones, Isaac","Farrar, John",275,Boydton,N/A,,,,
Shiloh (Mecklenburg),,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Jones, Isaac","Dodson, N. B.",515,Boydton,N/A,,,,
St. John,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Moseley, Jordan","Burwell, Alex",169,Clarksville,N/A,,,,
St. Level,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Epps, T. S.","Carter, H. C.",98,Abbyville,N/A,,,,
St. Mark,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Jeffress, J. W.","Venable, J. H.",27,Buffalo Springs,N/A,,,,
St. Matthew,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Coleman, C. H.","Dedman, G. W.",92,Oakley,N/A,,,,
St. Paul,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1886,BCBA,1886,"Yancy, R. C.","Boyd, W. M.",150,Boydton,N/A,,,,
Forest,,PRINCE EDWARD,,Prince Edward,BCBA Minutes 1886,BCBA,1886,Blank,"Anderson, P. E. ",369,Meherrin,N/A,,,,
New Bethel,,PRINCE EDWARD,,Prince Edward,BCBA Minutes 1886,BCBA,1886,"Almond, John","Anderson, P. E. ",101,Briery,N/A,,,,
Mt. Zion,,Mecklenburg,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Pool, J. B.","Summerville, J.",294,Clarksville,N/A,,,,
St. Mark,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Tuck, J. F.","Venable, J. H.",47,Buffalo Springs,N/A,,,,
Bloom Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,,,100,Union Level,N/A,,,,
Cedar Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,,,63,Oakley,N/A,,,,
Shiloh,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Jones, Isaac","Gayle, Solomon",590,Boydton,N/A,,,,
Cherry Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Moseley, Jordan","Pool, J.S.",320,Buffalo Springs,N/A,,,,
North View,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Ranson, J. M.","Ogburn, A",208,North View,N/A,,,,
St. Level,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Epps, T. S.","Carter, H. C.",135,Abbyville,N/A,,,,
Lone Oak,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Ranson, J. M.","Winn, J. W.",419,Drapersville,N/A,,,,
Amity,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Ranson, J. M.","Simmons, Chas.",156,South Hill,N/A,,,,
Rocky Mount,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Elam, J. R.","Goode, L. W.",53,Skipwith,N/A,,,,
New Liberty,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Ranson, J. M.","Bowers, L. C.",262,Clarksville,N/A,,,,
Mt. Olive,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,,"Daniel, M.",73,Clarksville,N/A,,,,
Lombardy Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Jones, Isaac","Smith, Chas.",212,Smith X Roads,N/A,,,,
Mt. Ararat,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Pool, J. B.","Turner, A. A.",91,Clarksville,N/A,,,,
St. John,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Moseley, Jordan","Skipwith, V. L.",168,Clarksville,N/A,,,,
Beautiful Plain,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Moseley, Jordan","Yancy, N. C.",50,Buffalo Springs,N/A,,,,
Sharon,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Jones, Isaac","Farrar, John",310,Swepson,N/A,,,,
Bethlehem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Yancy, R. C.","Davis, C. W.",537,Chase City,N/A,,,,
Greenwood,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Yancy, R. C.","Hays, W. H.",75,Fields,N/A,,,,
St. Paul,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Yancy, R. C.","Goode, A. J.",210,Boydton,N/A,,,,
Bluestone,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,,"Powell, J. L.",235,Hanford,N/A,,,,
Jerusalem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Wilson, Lewis","Hudson, Moses",62,Lambert,N/A,,,,
St. Matthew,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1887,BCBA,1887,"Coleman, H. H.","Skipwith, F. C.",96,Clarksville,N/A,,,,
Salem,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1887,BCBA,1887,"Moseley, Jordan","Couch, R. J.",1029,Red Oak Grove,N/A,,,,
Mt. Ellis,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1887,BCBA,1887,"Jordan, Nelson","Wilson, J. C.",483,Keysville,N/A,,,,
Piney Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1887,BCBA,1887,"Elam, J. R.","Lipscomb, S. A.",123,Randolph,N/A,,,,
Morrison Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1887,BCBA,1887,"Matthew, J. B.","Booker, F. C.",643,Smithville,N/A,,,,
First Baptist Church,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1887,BCBA,1887,,"Elam, J. E.",27,Wyliesburg,N/A,,,,
St. Micael,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1887,BCBA,1887,"Daniel, Benj.","Dupuy, George",205,Drakes Branch,N/A,,,,
Shiloh,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1887,BCBA,1887,"Hall, F. L.","Bedford, C. H.",140,Dupree's Store,N/A,,,,
Forest,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1887,BCBA,1887,"Hall, F. L.","Anderson, P. E. ",198,Meherrin,N/A,,,,
New Bethel,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1887,BCBA,1887,"Almond, John","Anderson, P. E. ",135,Meherrin,N/A,,,,
Mt. Mitchell,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1887,BCBA,1887,,"Hankins, L. T.",266,Fort Mitchell,N/A,,,,
Tussekiah,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1887,BCBA,1887,"Ovagbead, Isaac","Jenkins, H. H.",200,Lunenburg C. H.,N/A,,,,
Bethlehem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Yancy, R. C.","Davis, C. W.",546,Chase City,N/A,,,,
Lone Oak,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,,"Winn, J. W.",401,Stony Cross,N/A,,,,
St. Paul,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Ranson, J. M.","Goode, A. J.",237,Boydton,N/A,,,,
Lombardy Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Jones, I.","Smith, Charles",213,Smith's X Roads,N/A,,,,
North View,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,,"Ogburn, A.",225,North View,N/A,,,,
Greenwood,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Yancy, R. C.","Hayes, W. H.",80,Fields,N/A,,,,
Cherry Holl,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Moseley, Jordan","Pool, J. S.",300,Buffalo Springs,N/A,,,,
Mt. Zion,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Pool, J. B.","Somerville, J.",289,Clarksville,N/A,,,,
St. Mark,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Tuck, J. F.","Venable, J. H.",53,Buffalo Springs,N/A,,,,
Rocky Mount,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Elam, J. R.","Goode, L. W.",59,Skipwith,N/A,,,,
New Liberty,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,,"Bowers, L. C.",289,Clarksville,N/A,,,,
Mt. Ararat,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Jones, D. W.","Dodson, N. A.",105,Clarksville,N/A,,,,
Sharon,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Jones, I.","Farrar, J.",360,Boydton,N/A,,,,
Mt. Olive,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Jones, D. W.","Daniel, M.",70,Clarksville,N/A,,,,
Bluestone,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,,"Powell, J. L.",264,Hanford,N/A,,,,
Cedar Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,,"Boswell, Bettie",74,Oakley,N/A,,,,
Bloom Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Miller, W. T.",,101,Union Level,N/A,,,,
St. Level,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Epps, T. S.","Puryear, C. A.",139,Abbyville,N/A,,,,
Jerusalem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Wilson, Lewis","Hutcheson, E. W.",61,Lambert,N/A,,,,
St. Matthew,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Coleman, H.H.","Dean, L.",106,Clarksville,N/A,,,,
Berean,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Jones, D. W.","Burwell, J.",,Finnywood,N/A,,,,
Beautiful Plain,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Moseley, Jordan","Yancy, N. C.",75,Overland,N/A,,,,
St. John,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,"Moseley, Jordan","Skipwith, V. L.",178,Clarksville,N/A,,,,
Amity,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1888,BCBA,1888,,"Simmons, C. S.",108,South Hill,N/A,,,,
St. Michael,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1888,BCBA,1888,"Daniel, Benj.","Dupuy, George",220,Drakes Branch,N/A,,,,
Salem,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1888,BCBA,1888,"Moseley, Jordan","Couch, R. J.",1034,Red Oak Grove,N/A,,,,
Morrison Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1888,BCBA,1888,"Matthew, J. B.","Friend, J. D.",626,Smithville,N/A,,,,
Mt. Ellis,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1888,BCBA,1888,"Jordan, Nelson","Wilson, J. C.",479,Keysville,N/A,,,,
Shiloh,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1888,BCBA,1888,"Hall, F. L.","Fowlkes, W. M.",126,Dupree's Store,N/A,,,,
Piney Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1888,BCBA,1888,"Elam, J. R.","Lipscomb, S. A.",121,Randolph,N/A,,,,
First Baptist Church,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1888,BCBA,1888,,"Elam, J. E.",22,Wyliesburg,N/A,,,,
Forest,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1888,BCBA,1888,"Hall, F. L.","Anderson, P. E. ",397,Meherrin,N/A,,,,
New Bethel,,PRINCE EDWARD,Virginia,Prince Edward,BCBA Minutes 1888,BCBA,1888,"Almond, John","Fowlkes, W. A.",127,Briery,N/A,,,,
Tussekiah,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1888,BCBA,1888,"Craghead, Isaac","Jenkins, H. H.",180,Lunenburg C.H.,N/A,,,,
Mt. Mitchell,,LUNENBURG,Virginia,Lunenburg,BCBA Minutes 1888,BCBA,1888,"Russell, J. T.","Hankins, L. T.",284,Fort Mitchell,N/A,,,,
Bethelehem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Yancy, R. C.","Davis, C. W.",549,Chase City,N/A,,,,
St. John,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Moseley, J.","Skipwith, V. L.",194,Clarksville,N/A,,,,
North View,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Thomas, J. W.","Ogburn, A.",232,North View,N/A,,,,
Shiloh,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,,"Baskerville, S.",200,Boydton,N/A,,,,
St. Luke,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,,"Smith, M. E.",15,Skipwith,N/A,,,,
Jerusalem,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Wilson, L.","Wartman, R. B.",64,Lambert,N/A,,,,
Mt. Olive,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,,"Carrington, Robt.",89,Clarksville,N/A,,,,
Mt. Ararat,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Jones, D. W.","Dodson, N. A.",106,Clarksville,N/A,,,,
St. Mark,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,,"Venable, J. H.",55,Buffalo Springs,N/A,,,,
Mt. Zion,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Pool, J. B.","Somerville, J.",164,Clarksville,N/A,,,,
St. Paul,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Yancy, R. C.","Goode, A. J.",241,Boydton,N/A,,,,
Berean,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Jones, D. W.","Burwell, J.",19,Finnywood,N/A,,,,
Rocky Mount,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Elam, J. R.","Gregory, T. W.",55,Skipwith,N/A,,,,
Cherry Hill,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Moseley, J.","Pool, J. S.",315,Buffalo Springs,N/A,,,,
Lone Oak,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Thomas, J. W.","Winn, J. W.",385,Stony Cross,N/A,,,,
Sharon,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,,"Farrar, J.",202,Swepson,N/A,,,,
Greenwood,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Yancy, R. C.","Hays, W. H.",86,Boydton,N/A,,,,
Cedar Grove,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,,"Burwell, B",53,Oakley,N/A,,,,
Bluestone,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,,"Powell, J. R. L.",282,Hanford,N/A,,,,
Beautiful Plain,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Moseley, J.","Yancy, N. C.",57,Overland,N/A,,,,
New Liberty,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Hudson, J. D.","Bowers, L. C.",259,Clarksville,N/A,,,,
St. Matthew,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Coleman, H. H.","Dean, S.",106,Clarksville,N/A,,,,
St. Level,,MECKLENBURG,Virginia,Mecklenburg,BCBA Minutes 1889,BCBA,1889,"Epps, T. S.","Puryear, C. A.",137,Abbyville,N/A,,,,
Salem,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1889,BCBA,1889,"Moseley, J.","Atkins, W. P.",1024,Red Oak Grove,N/A,,,,
St. Michael,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1889,BCBA,1889,"Daniel, Benj.","Dupuy, George",212,Drake's Branch,N/A,,,,
Shiloh,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1889,BCBA,1889,"Hall, F. L.","Saunders, A. L.",147,Dupree's Store,N/A,,,,
Mount Ellis,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1889,BCBA,1889,"Jordan, Nelson","Wilson, J. C.",470,Keysville,N/A,,,,
Morrison Grove,,CHARLOTTE,Virginia,Charlotte,BCBA Minutes 1889,BCBA,1889,"Matthew, J. B.","Friend, J. D.",666,Smithville,N/A,,,,
