NAME OF CHURCH,CITY,COUNTY,STATE,"CITY, COUNTY, STATE",SOURCE,ASSOCIATION,YEAR,PASTOR,CLERK,# OF MEMBERS,POST OFFICE,YEAR ORGANIZED,DELEGATES,DELEGATES,DELEGATES,DELEGATES
Mt. Pleasant,WALKER'S CHURCH,APPOMATTOX,,Appomattox - Walker's Church,BCBA Minutes1874,BCBA,1874,"Mathews, J. B.","Morton, Joseph",,,,,,,
Morrison Grove,CHARLOTTE C. H.,CHARLOTTE,,Charlotte C. H.,BCBA Minutes1874,BCBA,1874,"Scott, Thomas","Moses, Robert",,,,,,,
Mossingford,MOSSINGFORD STATION,CHARLOTTE,,Charlotte Co. - Mossingford Station,BCBA Minutes1874,BCBA,1874,"Clark, Whitfield","Bacon, Grandison",,,,,,,
Mt. Ellis,KEYSVILLE,CHARLOTTE,,Charlotte Co. - Keysville,BCBA Minutes1874,BCBA,1874,"Clark, Whitfield","Clark, Whitfield",,,,,,,
Salem,RED OAK GROVE,CHARLOTTE,,Charlotte Co. - Red Oak Grove,BCBA Minutes1874,BCBA,1874,"Moseley, Jourdan, Doggett, Moseley, Stephen","Stanley, Wm.",,,,,,,
Shiloh,DRAKE'S BRANCH,CHARLOTTE,,Charlotte Co. - Drake's Branch,BCBA Minutes1874,BCBA,1874,"Tompson, Wm. A.","Tompson, Wm. A",,,,,,,
St. Michael's *,DRAKE'S BRANCH,CHARLOTTE,,Charlotte Co. - Drake's Branch,BCBA Minutes1874,BCBA,1874,"Scott, Thos. J.","Dupuy, H[enry]",,,,,,,
Friendship,BRICKLAND,LUNENBURG,,Lunenburg Co. - Brickland,BCBA Minutes1874,BCBA,1874,"Chapel, E.","Harper, Isaac",,,,,,,
Mt. Mitchell,PLANSTERVILLE,LUNENBURG,,Luneburg Co. - Plantersville,BCBA Minutes1874,BCBA,1874,"Tompson, Wm. A.","Tompson, Wm. A",,,,,,,
New Grove,COLUMBIAN GROVE,LUNENBURG,,Lunenburg Co. - Columbian Grove,BCBA Minutes1874,BCBA,1874,"Leach, D. F.","Banks, J[ames] R.",,,,,,,
Rehoboth *,,LUNENBURG,,Lunenburg Co.,BCBA Minutes1874,BCBA,1874,"Leach, D. F.","Cheatham, Elie",,,,,,,
Tussekiah,LUNENBURG C.H.,LUNENBURG,,Lunenburg C. H.,BCBA Minutes1874,BCBA,1874,"Tompson, Wm. A.","Foster, Isaac",,,,,,,
Amity,FORKSVILLE,MECKLENBURG,,Mecklenburg Co. - Forksville,BCBA Minutes1874,BCBA,1874,"Chapel, Edward","Hubbard, Joe",,,,,,,
Bethlehem,CHASE CITY,MECKLENBURG,,Mecklenburg Co. - Chase City,BCBA Minutes1874,BCBA,1874,"Davis, C. L., Davis, C. H.","Davis, C. W.",,,,,,,
Blue Stone,SPRING HILL,MECKLENBURG,,Mecklenburg Co. - Spring Hill,BCBA Minutes1874,BCBA,1874,"Davis, C. L.","Richards, J. F.",,,,,,,
Cherry Hill *,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes1874,BCBA,1874,,,,,,,,,
Concord,DRAPERSVILLE,MECKLENBURG,,Mecklenburg Co. - Drapersville,BCBA Minutes1874,BCBA,1874,"Leach, D. F.","Smithson, S.",,,,,,,
First African,CLARKSVILLE,MECKLENBURG,,Mecklenburg Co. - Clarksville,BCBA Minutes1874,BCBA,1874,"Dodson, Albert","Dodson, Albert",,,,,,,
Lone Oak,DRAPERSVILLE,MECKLENBURG,,Mecklenburg Co. - Drapersville,BCBA Minutes1874,BCBA,1874,"Leach, D. F.","Williams, Lewis",,,,,,,
"Mt. Zion, Clarksville",CLARKSVILLE,MECKLENBURG,,Mecklenburg Co. - Clarksville,BCBA Minutes1874,BCBA,1874,"Davis, C. L.","Puryear, Wm.",,,,,,,
Sharon,BOYDTON,MECKLENBURG,,Mecklenburg Co. - Boydton,BCBA Minutes1874,BCBA,1874,,,,,,,,,
Shiloh,BOYDTON,MECKLENBURG,,Mecklenburg Co. - Boydton,BCBA Minutes1874,BCBA,1874,"Sydnor, E. F.","Sydner, E. F.",,,,,,,
St. John's * ,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes1874,BCBA,1874,,,,,,,,,
St. Paul's,BOYDTON,MECKLENBURG,,Mecklenburg Co. - Boydton,BCBA Minutes1874,BCBA,1874,"Sydnor, E. F.","Jeffries, George",,,,,,,
Forrest,MEHERRIN STATION,PRINCE EDWARD,,Prince Edward Co. - Meherrin Station,BCBA Minutes1874,BCBA,1874,"Scott, Thomas","Watkins, E.",,,,,,,
Zion,,,,,BCBA Minutes1874,BCBA,1874,,,,,,,,,
Morrison Grove,Charlotte C. H.,CHARLOTTE,,,BCBA Minutes 1875,BCBA,1875,"Scott, Thos. James","Moses, Robert",305,Charlotte C. H.,,,"Green, Wm.","Peters, J.","Wilson, Joseph"
Mossingford,,CHARLOTTE,,Charlotte Co.,BCBA Minutes 1875,BCBA,1875,"Clarke, Whitfield","Bacon, Grandison",658,Mossingford Station,,"Davis, Anthony","Briton, Isham",,"Tucker, Daniel"
Mt. Ellis,,CHARLOTTE,,Charlotte Co.,BCBA Minutes 1875,BCBA,1875,"Clark, Whitfield","Clarke, Whitfield",274,Keysville,,"Almond, John","Cheatham, Joe",,
Salem,,CHARLOTTE,,Charlotte Co.,BCBA Minutes 1875,BCBA,1875,"Mosely, Jordan","Standley, Wm.",933,Red Oak Grove,,"Boulding, Isham","Dogget, A.","Ligings, Thos.","Carrington, S."
St. Michael,,CHARLOTTE,,Charlotte Co.,BCBA Minutes 1875,BCBA,1875,"Scott, Thos. James","Duprey, Henry",53,Drakes Branch,,,"Duprey, Henry",,
Behobeth,,LUNENBURG,,Lunenberg Co.,BCBA Minutes 1875,BCBA,1875,"Leach, D. F.","Cheatham, Elbe",139,,,"Cheatham, Ellie","Cheatham, Albert",,
Friendship,,LUNENBURG,,Lunenberg Co.,BCBA Minutes 1875,BCBA,1875,"Faulkes, Wilson","Harper, Isaac",70,Brickland,,,"Hill, Ceasar","Moore, Robert",
Mount Mitchell,,LUNENBURG,,Lunenberg Co.,BCBA Minutes 1875,BCBA,1875,"Thompson, W. A.","Thompson, Wm. A",239,Plantersville,,"Baily, Joseph",,,"Sanders, George"
New Grove,,LUNENBURG,,Lunenberg Co.,BCBA Minutes 1875,BCBA,1875,"Leach, D. F.","Banks, J. N.",440,Columbian Grove,,Creaghead,"Gee, Joseph",,"Gee, Peter"
Tussekiah,,LUNENBURG,,Lunenburg C. H.,BCBA Minutes 1875,BCBA,1875,"Thompson, Wm. A.","Foster, Isaac",233,Lunenburg C.H.,,"Foster, Isaac","Ames, Wm.",,
Amity,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Leach, D. F.","Hubbert, Joe",59,Forksville,,,,"Taylor, Gabe","Watner, Buck"
Bethlehem,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Davis, C. L.","Davis, C. W.",200,Chase City,,"Dickerson, M.","Couch, David","Rudd, Edward",
Bloom Hill,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Miller, Wm. Thomas","Miller, Wm. T.",12,Boydton,,,,"Miller, Wm. Thomas","Simmons, Jessee"
Bluestone,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Davis, C. L.","Davis, C. W.",186,Spring Hill,,"Crawley, Wyatt","Couch, Cephas",,
Cherry Hill,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Mosely, Jordan",None,84,Clarksville,,,"Johnson, Ruphas",,"Williamson, Baker"
Concord,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Leach, D. F.","Smithson, S.",133,Drapersville,,"Dodson, Joe","Jeffress, L. R.",,
First African,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Dodson, Albert","Dodson, Albert",182,Clarksville,,,,"Towns, Wm.","Willard, Gilbert"
Lone Oak,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Leach, D. F.","Williams, Lewis",39,Drapersville,,"Fields, Shadrack","Land, Thomas",,
Mt. Zion,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Davis, C. L.","Puryear, Wm. H.",261,Clarksville,,"Flemming, Benj.",,,"Wooden, Oscar"
Sharon,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Dodson, Albert","Dodson, Albert",295,Boydton,,"Alexander, Frank","Alexander, Samuel",,
Shiloh,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Sydnor, E. F.","Sydnor, E. F.",48,Boydton,,,"Gales, Armstead","Morton, Reed",
St. Johns,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Coleman, Henry","Skipwith, Geo. L.",175,Clarksville,#REF!,"Burwell, Amanuel","Burwell, Brown",,
St. Paul,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1875,BCBA,1875,"Barney, Wesley","Jeffress, Geo.",79,,,,,"Roberson, Joseph","Warden, Thomas"
Springfield,,NOT LISTED,,Not Listed,BCBA Minutes 1875,BCBA,1875,"Staples, Wm.",None,11,Not Listed,,None,,,
Forrest,,PRINCE EDWARD,,Prince Edward,BCBA Minutes 1875,BCBA,1875,"Scott, Thos.","Watkins, E",265,Meherrin Station,,"Davis, Philip","Cox, Washington",,
Mt. Pleasant,,,,,BCBA Minutes 1875,BCBA,1875,"Matthew, J. B.","Martin, Joseph",130,Walker's Church,,None,,,
Shiloh Church,,,,,BCBA Minutes 1875,BCBA,1875,"Wesley, Thos.",None,48,,,None,,,
Zion Church,PAMPLIN CITY,,,Pampling City,BCBA Minutes 1875,BCBA,1875,"Marshall, Lewis",None,63,Pampling City,,None,,,
Mossing Grove,,APPOMATTOX,,Appomattox Co.,BCBA Minutes 1880,BCBA,1880,"Matthews, J. B.",,512,Smithville C. H.,N/A,,,,
Mt. Pleasant,,APPOMATTOX,,Appomattox Co.,BCBA Minutes 1880,BCBA,1880,"Matthews, J. B.",,118,N/A,N/A,,,,
Cherry Hill,,CHARLOTTE,,Charlotte Co.,BCBA Minutes 1880,BCBA,1880,"Mosley, J.",,412,N/A,N/A,,,,
Piney Grove,,CHARLOTTE,,Charlotte Co.,BCBA Minutes 1880,BCBA,1880,"Elam, W. H.",,106,N/A,N/A,,,,
Salem (Charlotte),,CHARLOTTE,,Charlotte Co.,BCBA Minutes 1880,BCBA,1880,"Mosley, J.",,994,N/A,N/A,,,,
St. Johns,,CHARLOTTE,,Charlotte Co.,BCBA Minutes 1880,BCBA,1880,"Mosley, J.",,166,N/A,N/A,,,,
St. Level,,CHARLOTTE,,Charlotte Co.,BCBA Minutes 1880,BCBA,1880,"Mosley, Jordan",,71,Centre View,N/A,,,,
St. Michael,,CHARLOTTE,,Charlotte Co.,BCBA Minutes 1880,BCBA,1880,"Daniel, B. J.",,140,N/A,N/A,,,,
Friendship,,LUNENBURG,,Lunenburg Co.,BCBA Minutes 1880,BCBA,1880,"Grant, Solomon",,75,N/A,N/A,,,,
Mount Mitchell,,LUNENBURG,,Lunenburg Co.,BCBA Minutes 1880,BCBA,1880,"Craghead, I.",,246,N/A,N/A,,,,
Shiloh (Charlotte),,LUNENBURG,,Lunenburg Co.,BCBA Minutes 1880,BCBA,1880,"Craghead, I.",,97,Dupuy's Store,N/A,,,,
Tussekiah,,LUNENBURG,,Lunenburg Co.,BCBA Minutes 1880,BCBA,1880,"Craghead, I.",,288,Lunenburg C. H.,N/A,,,,
Amity,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Millier, William T.",,64,Forksville,N/A,,,,
Bloom Hill,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Millier, W. T.",,50,Union Level,N/A,,,,
Lone Oak,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Sydnor, E. F.",,189,Drapersville,N/A,,,,
Lumbardy Grove,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Brown, John",,88,N/A,N/A,,,,
Mount Ararat,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Jeffress, L. R.",,27,N/A,N/A,,,,
Mount Olive,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Jeffress, L. R.",,68,Clarksville,N/A,,,,
Mount Zion,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Pools, J. B.",,233,Clarksville,N/A,,,,
New Liberty,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Jeffress, L. R.",,300,N/A,N/A,,,,
North View,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Miller, W. T.",,102,North View,N/A,,,,
Sharon,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Miller, William T.",,311,Boydton,N/A,,,,
Shiloh (Mecklenburg),,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Sydnor, E. F.",,450,N/A,N/A,,,,
St. Matthew's,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Coleman, H. H.",,76,N/A,N/A,,,,
St. Paul's,,MECKLENBURG,,Mecklenburg Co.,BCBA Minutes 1880,BCBA,1880,"Sydnor, E. F.",,150,N/A,N/A,,,,
Bethelehem,,UNKNOWN,,Unknown,BCBA Minutes 1880,BCBA,1880,Blank,,325,N/A,N/A,,,,
Bluestone,,,,,BCBA Minutes 1880,BCBA,1880,"Couch, Cephas",,300,N/A,N/A,,,,
Mt. Pleasant,,APPOMATTOX,,Appomattox Co.,BCBA Minutes 1884,BCBA,1884,"Wyatt, Nat.","Daniel, John",138,Hixburg,,,,,
Morrison Grove,,CHARLOTTE,,Charlotte,BCBA Minutes 1884,BCBA,1884,"Matthew, J. B.","Morton, William P.",618,Smithville,,,,,
Mt. Ellis,,CHARLOTTE,,Charlotte,BCBA Minutes 1884,BCBA,1884,"Jordan, Nelson","Wilson, J.C.",433,Keysville,,,,,
Piney Grove,,CHARLOTTE,,Charlotte,BCBA Minutes 1884,BCBA,1884,"Elam, J. R.","Hamlet, Robert",151,Randolph,,,,,
Salem (Charlotte),,CHARLOTTE,,Charlotte,BCBA Minutes 1884,BCBA,1884,"Moseley, Jordan","Elam, J. R.",989,Red Oak Grove,,,,,
Shiloh (Charlotte),,CHARLOTTE,,Charlotte,BCBA Minutes 1884,BCBA,1884,"Craghead, Isaac","Bedford, C.",105,Dupree's Store,,,,,
St. Michael,,CHARLOTTE,,Charlotte,BCBA Minutes 1884,BCBA,1884,"Daniel, Benjamin","Dupuy, George",165,Drake's Branch,,,,,
Mount Mitchell,,LUNENBURG,,Lunenburg,BCBA Minutes 1884,BCBA,1884,"Craghead, Isaac","Jenkins, L. T.",244,Fort Mitchell,,,,,
Tussekiah,,LUNENBURG,,Lunenburg,BCBA Minutes 1884,BCBA,1884,"Craghead, Isaac","Jenkins, H. H.",275,Lunenburg C. H.,,,,,
Amity,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Millier, W. T.","Simmons, Chas.",247,South Hill,,,,,
Beautiful Plains,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Moseley, Jordan","Yancy, N. C.",45,Buffalo Springs,,,,,
Bethlehem,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Almond, John","Davis, C. W.",497,Chase City,N/A,,,,
Bloom Hill,,MECKLENBURG,,Mecklenburg,BCBA Minutes 1884,BCBA,1884,"Miller, W. T.","Miller, W. E.",58,Union Level,,,,,
