FID,NAME,JURISTYPE,LOCATIONS,VACONCONV_1869_DELEGATE,CD4_1878,CD4_1880,CD4_1882,CD4_1884,CD4_1886,CD4_1888,BBA_1882,BBA_1882_CH,BBA_1882_MEM,BBA_1885,BBA_1885_CH,BBA_1885_MEM,BBA_1886,BBA_1886_CH,BBA_1886_MEM,BBA_1887,BBA_1887_CH,BBA_1887_MEM,BBA_1888,BBA_1888_CH,BBA_1888_MEM,BBA_1889,BBA_1889_CH,BBA_1889_MEM,BCBA_1871_CH,BCBA_1871_MEM,BCBA_1873_CH,BCBA_1873_MEM,BCBA_1880_CH,BCBA_1880_MEM,BCBA_1884_CH,BCBA_1884_MEM,BCBA_1885_CH,BCBA_1885_MEM,BCBA_1886_CH,BCBA_1886_MEM,BCBA_1887_CH,BCBA_1887_MEM,BCBA_1888_CH,BCBA_1888_MEM,BCBA_1889_CH,BCBA_1889_MEM,BCBA_1890_CH,BCBA_1890_MEM,VBSC_1867_CH,VBSC_1867_MEM,VBSC_1868_CH,VBSC_1868_MEM,VBSC_1879_CH,VBSC_1879_MEM,VBSC_1880_CH,VBSC_1880_MEM,VBSC_1881_CH,VBSC_1881_MEM,VBSC_1882_CH,VBSC_1882_MEM,VBSC_1883_CH,VBSC_1883_MEM,VBSC_1884_CH,VBSC_1884_MEM,VBSC_1885_CH,VBSC_1885_MEM,VBSC_1886_CH,VBSC_1886_MEM,VBSC_1887_CH,VBSC_1887_MEM,VBSC_1888_CH,VBSC_1888_MEM,VBSC_1889_CH,VBSC_1889_MEM,VBSC_1890_CH,VBSC_1890_MEM,CSBA_1881_CH,CSBA_1881_MEM,NNBA_1881_CH,IPUMS_ID_Number_Location,CONG_DIST_NUMBER_1880,NUMBER_VOTES_GOVERNOR_DEMOCRAT_1881 _V327,NUMBER_VOTES_GOVERNOR_READJUSTER_1881 _V328,TOT_VOTE_GOV_1881 _V329,PERCENT_VOTES_DEM_1881,PERCENT_VOTES_REP_1881,MC_TOT_CH_1883,MC_B_CH_1883,MC_M_CH_1883,MC_O_CH_1883,MC_NUM_NAMES_1883,MC_NOTES_1883,DELEGATE_VA_HOUSE,DELEGATE_VA_HOUSE_TERM,SUPPORT_REP_1881,SUPPORT_REP_1885,SUPPORT_REP_1877
36,Newport News,City,Newport News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000,99,9999999,9999999,9999999,,,,,,,,,,,,,
37,Roanoke,City,Roanoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,,,,,,,1,-,,,,1610,9,698,1254,1952,36,64,3,1,2,0,,,,,Y,Y,
38,Accomack,County,Accomack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,350,,,,,1,429,1,444,3,2337,,,,,,,,,,,,,,10,1,2064,1447,3511,59,41,,,,,,,,,,,
39,Albemarle,County,Albemarle,"Taylor, James T. S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1020,2,2023,2,2175,2,2164,2,2144,3,2389,,,2,1681,2,2174,2,2255,2,1918,2,2257,17,4785,,30,7,2215,2061,4276,52,48,22,0,0,22,,,,,,,
41,Alleghany,County,Alleghany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,122,2,187,2,213,2,267,2,292,1,113,3,520,2,324,2,348,,,,50,6,231,217,448,52,48,,,,,,,,,,Y,
42,Amelia,County,Amelia,,X,X,X,X,,,X,1,126,X,1,138,X,1,139,X,2,163,X,2,180,X,2,183,,,,,,,,,,,,,,,,,,,,,,,,,2,578,,,,,,,1,136,1,279,,,,,,,,,,,,,4,342,,70,4,433,491,924,47,53,17,0,0,17,,,,,Y,Y,
43,Amherst,County,Amherst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,214,,,,,1,175,,,,,,,1,132,,,,,1,241,,90,6,1580,673,2253,70,30,,,,,,,,,,,
44,Appomattox,County,Appomattox,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,630,1,129,,,,,,,,,,,,,,,,,,,,,1,212,2,382,2,386,2,351,2,344,3,294,3,322,3,459,2,257,1,215,,,,110,6,740,858,1598,46,54,0,1,0,8,,,,,Y,,
45,Augusta,County,Augusta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,700,2,780,3,1275,3,1316,3,562,3,1362,3,1472,3,1224,4,1580,2,1373,2,1243,,,,150,7,2280,1621,3901,58,42,30,8,21,1,,,,,,,
46,Bath,County,Bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,7,259,299,558,46,54,,,,,,,,,Y,,
47,Bedford,County,Bedford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,870,2,952,1,668,2,1023,1,365,4,815,2,347,4,1189,4,865,3,1030,3,1038,3,839,,,,190,6,2333,1782,4115,57,43,-,-,-,-,-,I did not record information from this county.,,,,,
48,Bland,County,Bland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,9,217,642,859,25,75,0,0,0,0,,,,,Y,Y,
49,Botetourt,County,Botetourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,298,2,372,2,360,2,524,2,278,,,1,40,5,364,1,242,3,601,2,475,3,572,,,,230,6,1165,790,1955,60,40,1,1,0,0,,,,,,,
50,Brunswick,County,Brunswick,,X,X,X,X,,,X,7,1755,X,10,1928,X,10,2005,X,10,2017,X,10,2100,X,10,2112,,,,,,,,,,,,,,,,,,,,,,,,,1,468,,,,,,,,,,,,,,,,,,,,,,,,,,250,4,346,1708,2054,17,83,22,0,0,22,,,"POWELL, GUY",1881,Y,Y,
51,Buchanan,County,Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,262,1,294,,,,,,,,,,,,,,270,9,30,375,405,7,93,0,0,0,0,,,,,Y,,
52,Buckingham,County,Buckingham,"Moss, Frank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,6,928,1196,2124,44,56,0,0,0,0,,"Only names of individuals were reported, not churches.",,,Y,Y,
53,Campbell,County,Campbell,"Kelson, Samuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,485,1,700,2,2189,3,2369,2,2295,4,2670,4,2490,5,3388,6,3270,7,3549,6,3663,7,1229,6,2601,6,2464,,,,310,6,3383,1756,5139,66,34,9,0,0,9,,,,,,,
54,Caroline,County,Caroline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,794,3,801,3,741,3,678,4,3359,5,944,2,556,4,731,4,897,3,922,5,1231,3,634,2,217,,330,3,1263,1149,2412,52,48,,,,,,,,,,,
55,Carroll,County,Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,5,1015,651,1666,61,39,,,,,,,,,,,
56,Charles City,County,Charles City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,175,,,,,,,,,,,,,,,1,146,1,140,1,152,1,176,6,1259,,360,2,358,467,825,43,57,,,,,,,,,Y,Y,
57,Charlotte,County,Charlotte,"Holmes, Joseph R., Nelson, Edward",,,,,,,,,,,,,,,,,,,,,,,,,3,1057,4,,5,1503,6,2445,7,2521,7,2515,7,2650,7,2596,7,2659,7,3265,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,370,4,694,1037,1731,40,60,13,0,0,13,,,"SMITH, DABNEY",1881,Y,,
58,Chesterfield,County,Chesterfield,"Carter, James B.",,,,,,,X,5,506,X,5,418,X,4,448,X,3,482,X,3,540,X,3,583,,,,,,,,,,,,,,,,,,,,,1,835,1,867,7,2836,5,2003,4,2032,2,1600,4,2431,3,1480,4,2245,2,1567,2,1490,2,1092,2,1640,3,1720,5,2539,,410,3,1263,1309,2572,49,51,,,,,,,,,Y,,
59,Clarke,County,Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,8,978,326,1304,75,25,,,,,,,,,,,
60,Craig,County,Craig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,9,361,254,615,59,41,,,,,,,,,,,
